OPID_BENCH,ind_name
42809_33516,NEW: A consultant appointed to oversee and monitor the implementation of training by the contractors together with the City and to support the wider demonstration effect
42809_33517,NEW: Up to 12 unemployed young people given access to these training opportunities
42809_33518,NEW: Minimum 10 per cent of total EBRD debt with the City to be provided in LCY either through conversion of existing or raising new debt
42813_23787,Evidence of increased risk taking by the commercial banking sector measured by the gradual lowering of MIDF?s risk exposure as new RPAs are signed in future years (in-country average): MIDF?s risk exposure below 60 per cent
42813_23788,Evidence of increased risk taking by the commercial banking sector measured by the gradual lowering of MIDF?s risk exposure as new RPAs are signed in future years (in-country average):  MIDF?s risk exposure below 40 per cent
42813_23789,At least 4 PBs to provide long-term municipal or utility debt without donor/sovereign or IFI multinational risk participation.
42813_23790,At least 3 non-MIDF related commercial banks/private finance institutions provide long-term municipal or utility debt without donor/sovereign or IFI multinational risk participation
42813_23791,Sub-loans with Ultimate Borrowers signed in all countries targeted by MIDF
42813_23792,Financial sustainability of the lending structure as evidenced by no depletion of first loss equity.
42813_23793,Ability to raise total fund capital at second closing of EUR 100 million
42813_23794,Evidence of at least 2 Ultimate Borrowers in each country obtaining a second long-term loan for infrastructure project without any technical assistance or financing from MIDF
42856_18997,Improve Average Interruption Time (AIT) to a level of  8 minutes/year
42856_18998,Maintain transmission losses below 3.5%
42856_18999,Increase quantity of cross border flows by 10%
42856_19000,Successful tendering of implementation contracts
42856_19001,Develop and implement a routine preventative maintenance system 
42856_19002,Final agreement of initial parameters and establishment of tariff based on cost recovery
42856_19003,Annual agreement of new tariffs during renewal period
42856_19004,Improvements in transparency and methodology for cross border trading
42856_19005,Participation in the Coordinated Auction Office
42860_17349,Strengthening internal controls and risk management development:  Action plan to be developed under TA component 
42860_17350,"Number of LCY loans extended: At least 10,000"
42860_17351,Volume of LCY loans extended: USD 10 Mill
42860_17352,"Size of average loan extended: below USD 1,000"
42860_17353,Outreach to new regions- opening of new offices: 2 new offices
42860_17354,Non-performing loans to Capital ratio: Not more than 10%
42860_17355,"Expectation that organisation will continue to provide microfinance on a commercial basis after the end of loan term: Access to new funding (commercial loans, equity or deposits) upon reorgnisation into a commercial banks"
42889_16579,PMMR introduction achieved by completion of TC support and tendering of first PMMR contract
42889_16580,Signed PMMR with private contractor(s) to include rehabilitation and maintenance services for a minimum of 50 km of urban roads
42889_16581,PMMR based contracts replicated by other local authorities in the country
42889_16582,Adoption of the decision on separation to an Independent Body for Road Administration
42889_16583,Transformation to an Independent Body for Road Administration
42967_22010,Increase in BT?s SME loan portfolio by at least EUR 40 million (i.e. twice the amount of the EUR 40 million EBRD loan) 
42967_22011,At least EUR 20 million equivalent (out of the EUR 40 million SME portfolio increase mentioned above) to be denominated in local currency
42967_22012,70% of the proceeds of the EBRD loan to be extended to businesses located outside the capital city (compared to 60% currently);
42967_22013,"50% of the proceeds of the EBRD loan to be extended to businesses operating in localities with less than 300,000 inhabitants"
42967_22014,25% of the proceeds of the EBRD loan to be extended to businesses operating in the agricultural sector 
42967_22015,"Banca Transilvania will implement a policy on foreign currency lending satisfactory to the Bank, by no later than the end of March 2013, which it will apply to its whole loan portfolio. The policy will aim at ensuring that before extending loans denominated in, or indexed to, foreign currency Banca Transilvania is fully satisfied that the sub-borrower will be able to repay the loan in the case of a substantial depreciation of the RON. The policy should be in addition to standard techniques testing for the resilience of the collateral and the borrower's revenues under different stress scenarios including income and interest rate shocks."
42967_22016,"For all loans denominated in foreign currency or indexed to foreign currency (and not only EBRD subloans) BT will provide to sub-borrowers adequate information regarding the risks of borrowing in foreign currency, including numerical examples on the effect of adverse exchange rate changes on the payment obligations."
42968_22538,Increase in BTL's new leased assets by at least EUR 7 million by June 2013 and by another EUR 7 million by June 2014
42968_22539,"Average size of leases financed by EBRD to remain below EUR 250,000"
42968_22540,"At least 70% of the leasing contracts to be extended to businesses located outside the capital by end 2013 and at least 80% by end 2014, compared to 60% currently"
42968_22541,Diversifying the assets mix by increasing the share of equipment in the total assets financed mix to at least 50% by end 2013 from 42% currently
42968_22542,The NPL (60 days past due) ratio for the EBRD financed lease portfolio to remain below 10%
42968_22543,BT Leasing to attract new financing from sources other than BT and EBRD
42979_19708,Increase in share of SME loans from 9% of GLP in 1H2012 to 15%-20% 
42979_19709,"Share of total number of MSME loans to be disbursed outside Yerevan (1H2012: 60%), to increase to 62% "
42979_19710,"Share of total number of MSME loans to be disbursed outside Yerevan (1H2012: 60%), to increase to 65% "
42979_19711,Reduction in MSME FX lending from current 62% to 57%
42979_19712,Reduction in MSME FX lending from current 62% to 50%
42979_19713,Notification to sub-borrowers about the potential FX risks to be incorporated into relevant loan agreements 
43027_16194,At least 33 sub-projects financed
43027_16195,Expansion of sustainable energy finance from PFI?s own resources (at least the same volume under the facility)
43027_16196,Expected energy and emission savings per EUR of investment: Energy saving: 4 kWh per annum
43027_16197,Expected energy and emission savings per EUR of investment: RE produced:  3 kWh per annum
43027_16198,Expected energy and emission savings per EUR of investment: CO2 emissions avoided: 2kg CO2 equiv. per annum
43027_16199,Grant leverage ratio (TC+incentive payments) : (total project costs):  5:1
43027_16200,Commercial success of the Project (repayment and low arrears ratio) < 8 % >60 days) 
43027_16201,Number of REUPs/SEAs prepared:  at least 26
43027_16202,Number of loan officers trained and certified:  at least 33
43034_18944,Investment efficiency - expected primary energy and CO2 emission savings per EUR of investment: - Annual primary energy savings: >3 kWh/EUR; -Annual carbon reductions: >1 kgCO2/EUR
43034_18945,Sub-loans arrears ratio (more than 90 days past due) less than 5%
43034_18946,Maintaining sustainable energy lending activities on commercial basis
43034_18947,Launch / maintain ?green? loans with sustainable energy component as a product
43034_18948,Number of EPAs/EAs prepared: at least 13
43034_18949,Number of loan officers trained: at least 3
43052_16207,Have a Supervisory Board approved agricultural lending strategy
43052_16208,Agri-loan portfolio to grow by at least the amount of the EBRD credit line.
43052_16209,Agri-loan portfolio share in total loans  to increase from current 1.3% to 4%;  
43052_16210,NPLs in the EBRD-funded agri-portfolio not to exceed 5% of total agri-loans at all time.
43052_16211,Monitor an increase in the number of agri-loans against the baseline of 462 (average number of loans in 2010)
43052_16212,Members from VTBG core agrilending group to attend the series of seminars conducted by the consultants.
43052_16213,"Adopt and market at least one standard value chain finance product (working capital) from those developed by the GAFF consultants, or a comparable product developed internally."
43052_16214,"Adopt and market at least one standard medium term finance products for storage, packing, greenhouses etc (capex) from those developed by the GAFF consultants, or a comparable product developed internally."
43060_21141,Launching tenders for maintenance of the national and regional road network
43060_21142,Adoption of the PBMC strategy (including Action Plan)
43060_21143,Development of the template for performance based maintenance contracts
43060_21144,"Completion of TC supported Training Programme (database management, inspection and verification) "
43060_21145,Adoption of the secondary legislation on road safety in line with EU Directives 2004/54/EC and 2008/96/EC
43060_21146,Completion of the road safety assessment on the Project road sections
43060_21147,Adoption of the Road safety strategy and Action Plan
43060_21148,"Completion of TC supported Training Programme (safety audit, data management, enforcement, etc.) "
43060_21149,Launching of the road safety inspection programme (nationwide)
43060_21150,Action Plan for obtaining ISO 39001 certification
43125_19447,Establishing of a modern water alarm system consisting of acoustic sirens and alarm centres equipment both at KESH's HQ (main alarm centre) and at the HPPs (secondary alarm centre) 
43125_19448,Emergency Preparedness Plan for the Drin and Mat River cascades
43125_19449,"Preparation of a Dam Surveillance Manual for each of the dams, inundation maps and an evacuation plan for the people being threatened by the flood wave"
43125_19450,Improved interface between local authorities and National Civil Emergency Centre.
43125_19451,On-the-job training to be provided by a specialised consultant to KESH?s dam operators and technical staff and the members of Albanian Commission of Large Dams.
43125_19462,The Potential Failure Mode Assessment to be adopted and implemented in 5 largest HPPs.
43258_23930,Achieve successful 1st close at a minimum of EUR 60 million
43258_23931,Achieve a final close of EUR 150 million
43258_23932,"Attract at least 15% of the Sponsor's existing investor base, and 15% new institutional quality investors not present in the CEE region by final close"
43258_23933,Fund to invest in at least 8 companies
43258_23934,"Deploy at least two-thirds of the Fund or 3x EBRD commitments, to SMEs"
43258_23935,"At least one third of all transactions by value outside of Warsaw, Poznan and Wroclaw"
43258_23936,At least 25% of companies to expand through utilising the fund manager?s backwards and forwards linkages
43258_23937,"Active involvement of at least 1 Strategic Adviser from the 21 Group Network, or 1 CEO Club member in each portfolio investment"
43258_23938,Improved operational efficiencies as evidenced by improved EBITDA margin and 10% CAGR revenue growth in each portfolio investment
43258_23939,In each portfolio company introduce improved senior management skills through hiring or training or developing synergies with other part of the 21 Group within two years of initial investment
43258_23940,"Achieve a financial success of the Fund (minimum gross IRR of 15%, money multiple of 2x) with write offs not to exceed 10% of invested capital"
43258_23941,At least 25% of the portfolio companies to expand cross-border.
43271_20401,Adopt new normative increasing average routine maintenance expenditures by at least 50 per cent in at least one oblast of Kazakhstan.
43271_20403,"Complete a detailed capacity assessment of the CoR and devise detailed proposals in relation to the functioning of an independent road agency, prepare an action plan for implementation of such proposals and prepare relevant draft amendments to the existing legislation."
43271_20404,"Submit for consideration by the Government of Kazkhstan of an action plan for creation of an independent road agency, including a draft legislation amendments allowing implementation of the proposed reforms."
43271_20405,Complete a procurement fuction capacity assessment of the MOTC and the CoR and develop recommendations in line with best practices.
43271_20406,Adopt the procurement recommendations and complete improvement of the procurement function of the MOTC and the CoR in compliance with applicable laws.
43271_20407,"In case of creation of a road agency, implement the relevant procurement functions of the road agency in line with the best practices."
43271_20408,Complete review of normatives and typical technical specifications for construction works in the road sector in line with best industry practices.
43271_20409,Adopt appropriate normatives and typical technical specifications for construction works in the road sector.
43271_20410,Adopt an action plan for gradual transfer of current repair works (potholes patching) to private sector on a pilot basis.
43271_20411,Complete a study assessing the readiness of the private sector and public sector capacity to tender out performance based maintenance contracts.
43271_20412,Preparation of tender documents for a multi-year routine maintenance contract and publication of such tender.
43271_20413,"Submit for consideration by the Government of Kazakhstan of relevant draft amendments to concession legislation, acceptable to the parties, to enable the implementation of PPP-type projects."
43271_20414,"Prepare all necessary tender documents for a pilot concession project, and publish such tender in line with the timetable as agreed with the Bank. "
43306_17167,Growth of loan portfolio by at least the amount of the A/B loan
43306_17168,Increase the share of agri-loans in the total portfolio from 24% as of year-end 2010 to 30% as of year-end 2013
43306_17169,Lending outside of Bucharest to represent at least 80% of the total loan portfolio
43306_17170,PAR>30 days not to exceed 8% of the gross loan portfolio.
43306_17171,Loans (and not only EBRD sub-loans) to be extended in foreign currency or indexed to foreign currency only in cases when PCBR will be satisfied that the sub-borrower will be able to repay in the case of a 25% depreciation of RON (in addition to assessing risk through standard techniques testing for the resilience of the collateral and the borrower's revenues under different stress scenarios including income and interest rate shocks)
43306_17172,"For all loans denominated in foreign currency (and not only EBRD sub-loans) PCBR shall provide to sub-borrowers adequate information on risks in borrowing in foreign currency, including numerical examples on the effect of adverse exchange rate changes on the payment obligations"
43320_18810,Total lease portfolio to grow by at least EUR 2 million 
43320_18811,Leases generated outside of Tirana to account for 20% of the total lease portfolio
43320_18812,Share of equipment leasing to represent: at least 20% of the total lease portfolio (by end 2013); at least 25% by YE 2014 (compared to 10% as of YE 2011) (by end 2014)
43320_18813,Sub-leases arrears ratio over 60 days to remain below 5%
43320_18814,Introduction of improved credit analysis and risk management procedures
43320_18815,Lease at least 3 new equipment products
43343_20781,New state sector lending on a sub-sovereign basis
43343_20782,"No negative government interference or reduction in KHIA tariffs, or increase of discounts to local airlines"
43343_20783,A staged decrease in discounts to local airlines ATM tariffs from 60 per cent to 40 per cent
43343_20784,At least one other non-sovereign loan in Tajikistan 
43343_20785,Increase the number  of routes from and to KHIA by 5 (from 20 routes)
43343_20786,Increase the number of airlines from and to KHIA by 2 (from 13)
43343_20787,Implementation of an ESAP and regular ES reporting
43343_20788,Audited IFRS financial reporting on an annual basis
43343_20789,Adoption of the new Master Plan
43343_20790,Implementation of the new Master Plan
43343_20791,Adoption and representation under ICAO rankings level 1. Increase of ranking under Interstate Aviation Committee (IAC) from ? B? to ?A?
43343_20792,At least one non-aeronautical business line to be subcontracted to a private enterprise
43343_20793,Improvement of the revenue mix of the airport with future non-aeronautical revenues representing at least 3 per cent of total KHIA revenues 
43367_19021,At least 17 RoSEFF sub-projects financed.
43367_19022,Expected energy and emission savings per EUR of RoSEFF investment: Energy saving: 4 kWh per annum; RE produced: 3 kWh per annum; CO2 emissions avoided: 2kg CO2 equivalent per annum.
43367_19023,Grant leverage ratio (TC + incentive payments) divided by (total project costs): 5:1
43367_19024,Commercial success of the sub-projects (repayment and low arrears ratio): NPL (60 days past due) ratio for the RoSEFF loan portfolio at maximum 8%.
43367_19025,Expansion of sustainable energy finance from BT's own resources (at least the same volume under the facility).
43367_19026,Number of REUPs/SEAs prepared: at least 13. 
43367_19027,Number of loan officers trained and certified: at least 17.
43410_23737,"Adoption of ISO 14001 environmental management system, certified by a third party"
43410_23738,Adoption of OHSAS 18001 safety management system certified by a third party
43410_23739,Compliance with EITI
43410_23740,Publish an annual environmental report and CSR report on TSX.V using GRI reporting guidelines
43410_23741,Board observer position for the Bank
43410_23742,Completion of the first Bankable feasibility study for a gold project by a junior mining company in Mongolia
43410_23743,Company is able to raise a good level of third party financing (non EBRD) in subsequent capital raisings
43410_23744,Introduction of advanced reverse circulation ('RC') drilling technology among juniors in Mongolia
43410_23745,At least 2 junior mining companies working in Mongolia adopt RC drilling technology
43456_19732,At least 10 investee companies under ENEF
43456_19733,At least half of investments in countries other than Croatia and Serbia 
43456_19734,Migration to EVCA-approved reporting standards (if other investors agree)
43456_19735,Achieve financial success of the Fund (minimum IRR of 11-15 per cent).
43456_19736,One additional first time Western Balkan non-IFI private equity fund to start operating in the Region
43456_19737,"Significant operational, managerial and financial restructuring or expansion of the companies into new business segments"
43456_19738,Increased productivity and profitability in at least 50 per cent of investee companies
43456_19739,Board representation (by the Fund or together with co-investors) on most portfolio companies 
43456_19740,Implementation of high integrity and AML standards across all portfolio companies
43456_19741,Introduction of IFRS accounting in majority of investee companies 
43456_19742,"Corporate governance improvements in a significant majority of investee companies (including such things as introduction of MIS, new Management / Supervisory Boards, minority shareholder protection, etc.) "
43472_18405,The City has developed the incentive-based contracts for the management of its PUCs and agencies acceptable to the Bank.
43472_18406,The City has signed the incentive-based contracts for the management of five PUCs and agencies acceptable to the Bank.
43472_18407,The PUC Reform Strategy has been developed and adopted by the Serbian Government.
43472_18408,The Company starts participating in the benchmarking programme organised by the Romanian and Hungarian Water Associations as part of the R2CF Framework.
43472_18409,The Company and the City have signed the Annex to the PSC with the Action Plan for Tariff Adjustment beyond 2015 acceptable to the Bank.
43472_18410,Successful implementation of revised PSC (including full cost recovery tariffs for all user groups).
43472_18411,The Company has explored the potential for commercialisation of wastewater sludge demonstrated in the Feasibility Study.
43472_18412,"Procedure, investments, and off-take agreements in place to enable commercial use of wastewater sludge."
43494_23138,At least 4 industrial energy efficiency projects financed under the Facility 
43494_23139,Expected energy and emissions savings per USD of investment:  Energy saving: 6 ? 8 kWh per annum; RE produced: 1.5 kWh per annum; CO2 emissions avoided: 2 kg CO2 equivalent per annum 
43494_23140,Arrears ratio of sub-projects  < 15%
43494_23141,PB continues EE projects after utilisation of BelSEFF loan
43494_23142,At least 6 REUPs/SEAs prepared
43494_23143,At least 5 loan officers trained
43494_23144,Formalised policy/ product guidelines for EE & RE investments are developed at the PB
43494_23145,"Within 6 month from the signing, a management representative is appointed or a specially dedicated unit is formed for EE projects at the bank"
43502_18222,At least 33 ROSEFF sub-projects financed.
43502_18223,Expected energy and emission savings per EUR of ROSEFF investment: Energy saving: 4 kWh per annum; RE produced: 3 kWh per annum; CO2 emissions avoided: 2kg CO2 equiv.
43502_18224,Grant leverage ratio (total Projects costs)/ TC + incentive payments): 5:1
43502_18225,Commercial success of the Project : 60 days arrears < 8 % of sub-loans portfolio
43502_18226,Expansion of SME sustainable energy efficiency finance from BRD's own resources: EUR 20 million.
43502_18227,Number of firms reached through marketing: at least 333 for RoSEFF.
43502_18228,Number of REUPs/SEAs prepared: at least 26.
43502_18229,Number of loan officers trained and certified: at least 33.
43525_18230,At least 8 sub-projects financed.
43525_18231,Expected energy savings: Expressed as GWh/annum (as equivalent electricity generation) - 40 GWh; Expressed as EUR of annualised project cost
43525_18232,"Expected CO2 emissions avoided: Expressed as tonne of CO2 per annum - 20,000 tonne; Expressed as EUR per kg of CO2 equiv. per annum: 2 kg CO2/EUR"
43525_18233,Amount of grant incentive paid per tonne of CO2 reduced - EUR 5 per t 
43525_18234,Commercial success of the Project: 60 days arrears < 8 % of sub-loans portfolio
43525_18235,Skills transfer to enterprises: Number of municipalities reached through marketing for investments in rational energy utilization: 10
43525_18236,Skills transfer to enterprises: Number of REUPs prepared: 8
43525_18237,Increase in BRD's municipal portfolio by at least EUR 10 million.
43525_18238,Expansion of municipal finance from BRD's own resources: EUR 10 million.
43542_21846,Net growth in O/S MSME portfolio (compared to YE O/S MSME portfolio of portfolio of USD 224m): - by USD 100m equivalent; - by USD 200m equivalent
43542_21847,The proportion of the number of MSME loans allocated in regions outside Ulaanbaatar: to remain at least as high as the level at YE 2011 of 62.4%.
43542_21848,Increase in weighted average tenor of the MSME loans to at least 42 months (YE 2011: 37.4 months)
43542_21849,Maintain bank?s NPL ratio (PAR >90 days) in the MSME portfolio below 5% (YE 2011: 1.7%)
43542_21850,"Introduce an improved formal risk management policy, which includes improved stress testing of risks facing clients borrowing in FX"
43542_21851,Introduce enhanced FX risk disclosure to clients borrowing in FX.
43542_21852,Actively and constructively participate in establishment of the Deposit Insurance Agency in the country
43542_21853,Attract at least one commercial investor in the proposed syndication transaction;
43542_21854,At least one syndication in the sector with participation of commercial investor(s);
43542_21855,Increase of the share of wholesale funding (excluding loans from local banks) with remaining maturities of over 3 years to 40% (YE 2011: 35.6%).
43641_18973,Grow the number of branches from 15 to 20
43641_18974,Growth of MSME lending by 15-20% annually.
43641_18975,Total number of sub- loans extended from the EBRD funded credit: not less than 35. 
43641_18976,Expansion of the customer outreach: 30% of total loans to be disbursed to clients outside Yerevan. 
43641_18977,Growth of share of lending from 32% to 40%
43647_19134,Financing of other 2 power projects using project finance structure
43647_19135,New wind power generation capacity added in Romania without EBRD involvement of 80 MW
43647_19136,At least 80% share of GC to be traded in the OPCOM market
43647_19137,At least 60% of the electricity to be traded in the OPCOM market
43647_19138,"Reduction in CO2 emissions of circa 57,036 tons/ year"
43698_18955,Increase in volume of MSME loans from AMD 11.6 billion at YE 2011 to: AMD 17.0 billion; (YE 2012); AMD 22.0 billion (YE 2013); AMD 28.0 billion (YE 2014)
43698_18956,Share of MSME lending to total lending would not go below its current levels ? 28% at YE 2011.
43698_18957,"Increase in share of MSME loans outside the capital from 10% at YE 2011 to: 13% (YE 2012), 14% (YE 2013); 16% (YE 2014)"
43698_18958,To extend at least 65% of loans to new customers.
43698_18959,Increase in AMD denominated MSME loans from AMD 5.9 billion at YE 2011 to: AMD 9 billion (YE 2012); AMD 10 billion (YE 2013); AMD 12 billion (YE 2014)
43698_18960,To grow agri-loans from zero now to AMD 400 million.
43698_18961,To disclose FX risk in the loan documentation to advise clients of the possible effect of FX movement on their loan payments. 
43719_24466,Completion of CAPEX investments in line with the Investment Programme (1.7)
43719_24467,Increase in sales per employee from EUR 191k  now to 205k 
43719_24468,Introduction of IFRS and consolidated financial statements 
43719_24469,At least one more company in Croatia to be restructured both financially and operationally by strategic Sponsor
43719_24470,Introduction of food safety standards system HAACP (Hazard analysis and critical control points) and Good Manufacturing Practices (GMP) for the pharmaceuticals clean room beyond current BAT
43748_24137,Fund Manager to organise annual MBO conferences/roundtables to educate management teams and local institutional investors on MBOs and familiarising them with private equity providers
43748_24138,At least two thirds of all transactions by value to be MBO transactions
43748_24139,Achieving financial success for the Fund as measured by the gross IRR of at least 20% and a net IRR of at least 10%
43748_24140,No more than one portfolio company write-off or 10% of the Fund capital in value
43748_24141,Improved financial performance of investee companies as measured by EBITDA growth and margin
43748_24142,Successful first closing of at least EUR 60 million
43748_24143,Reach target size of EUR 107 million at final close
43748_24144,Attract at least 2 new private institutional investors not present in the first fund
43748_24145,Include at least one investor not present in other equity funds in the region
43748_24146,Development of management team by hiring a new partner and 4 new investment officers
43748_24147,At least 2 transactions outside Poland
43748_24148,At least 3 regional add-on transactions realised by portfolio companies (of which at least 1 in Russia or Ukraine)
43748_24149,Invest at least 40% of the Fund in at least 4 companies
43748_24150,Invest at least 80% of the Fund in at least 8 companies
43748_24151,Ability to raise successor fund (Fund III)
43748_24152,At least two-thirds of the portfolio?s value to consist of SME companies as defined by EU criteria
43748_24153,"At least two-thirds of all transactions by value outside of Warsaw, Poznan and Wroclaw"
43748_24154,"Management remain in place from investment to exit in at least two thirds of deals, thus gaining full cycle experience"
43748_24155,"Active role in the investee companies, effected through board memberships, restructuring and active engagement in strategic planning and financial reporting (Fund Manager representation on the boards of portfolio companies)"
43748_24156,Implementation of EBRD?s social and environmental policies in portfolio companies
43754_21131,"Adopt a tariff methodology, which ensures full cost recovery within affordability limits"
43754_21132,Annual review and adjustment of the solid waste tariffs in accordance with the tariff methodology 
43754_21133,"Separation of the Company from the KMK, in form and substance acceptable to the Bank."
43754_21134,Implementation of a 40 per cent increase in solid waste tariffs for customers in apartments and for commercial/institutional customers by the Company and the City.
43754_21135,Public Service Contract between the Company and the City signed and implemented
43754_21136,Develop a Business Plan for the Company and formally adopt it 
43754_21137,Accounts of the waste collection and landfill units are separated into cost centres 
43754_21138,Completion of a Stakeholder Participation Programme 
43754_21139,Financial and Operational Improvement Programme implemented 
43754_21140,New Management Information System is operational 
43764_35331,EBRD-compliant ESAP fully implemented
43764_35332,"Reduction in CO2 emissions of approximately 390,000 tonnes of CO2 emissions annually"
43764_35333,Project begins commercial operation
43764_35334,Serbia achieves its target of 27% of primary energy consumption derived from renewable neergy
43764_35335,"Generation of 400,000 MWh annually"
43764_35336,158 MW of additional capacity
43764_35337,FiT programme approved by the government
43764_35338,Revised PPA approved by the government
43805_19311,Growth of BCR's portfolio of loans to qualifying SMEs and medium companies by at least 1.5 times of the disbursed amount of the loan
43805_19312,Share of loans for agri-businesses to be at least 20% of total credit line (as compared to 3% share of agribusiness in total BCR?s loan portfolio as of June 2012)
43805_24355,Lending to SME and medium corporates outside Bucharest to represent at least 85% of total credit line (88.29% was achieved under previous two SME credit lines as of June 2012 for SME lending only
43805_24356,Increase the average maturity of BCR?s SME and Medium Corporates portfolio from 2 to 3 years
43805_24357,NPLs for Sub-Loans not to exceed 5%
43805_24358,"Increase the share of deposits into total liabilities from 57.8% as of June 2012 to 61% by en-2014, to 63% by end-2015 and to 65% by 2016"
43805_24359,Increase the share of the loan portfolio denominated in local currency from 48.9% as of end-2011 to at least 50% by the end-2013 and to at least 52% by the end-2014 and to at least 55% by the end-2015
43805_24360,Reduce the net loan to deposit ratio from 122.4% as of June 2012 to less than 110%
43827_19512,"Signing of PSC, including multi-year (minimum 3 years) payment formula with a requirement for efficiency improvements."
43827_19513,"Diligent application of multi-year PSC and compensation (and indexation) formula, and timely transfer of payments to the Company."
43827_19514,Trolleybus tariff harmonization to bus tariff level (at MDL 2.0 per single trip)
43827_19515,Approval of the Corporate Development Plan
43827_19516,Implementation of the Corporate Development Plan
43827_19517,Efficiency improvements as a result of the investment programme in terms of: (i) 8.5 staff per operating trolleybus.
43827_19518,Efficiency improvements as a result of the investment programme in terms of: (ii) 7.5 staff per operating trolleybus.
43827_19519,Efficiency improvements as a result of the investment programme in terms of: (iii) electricity savings of at least 15 per cent per vehicle-km operated.
43827_19520,Fare-box ratio improvements (from 47 per cent in 2011): (i) 55 per cent.
43827_19521,Fare-box ratio improvements (from 47 per cent in 2011): (i) 60 per cent.
43827_19522,Full fleet availability of at least 95 per cent.
43839_18950,"Net growth in O/S MSME portfolio (compared to YE 2011 O/S MSME portfolio of USD 175m): By USD 35m equivalent (by end 2013); By USD 50m equivalent (by end 2014) (For the purposes of tracking the compliance of this benchmark, a fixed USD/AMD rate as at YE 2011 will be used for all periods.)"
43839_18951,The proportion of the number of MSME loans allocated in regions outside Yerevan: to remain at least as high as the level (YE 2011: 80.2%)
43839_18952,The proportion of LCY loans in total MSME portfolio (compared to YE 2011 level of 47.3%):  at least 50% (by end 2013);  at least 52% (by end 2014)
43839_18953,Maintain the NPL ratio (PAR >90 days) in the MSME portfolio below 5% (YE 2011: 0.15%)
43839_18954,At least one other syndication in the sector.
43869_18292,Refurbishment of the steam cracker to lead to the following performance standards improvements: Steam cracker to achieve total energy savings in excess of 4.5 mJ per kilo of product; NOx emissions to be reduced by 60%; CO2 emissions to be reduced by 14%
43869_18293,Compliance with Industrial Emissions Directive for the steam craker
43869_18294,Decommissioning of the three old LDPE units
43869_18295,New LDPE unit to meet all BAT standards and in particular: Direct energy consumption (GJ/ton product) less than 2.8; Primary energy consumption (GJ/ton product) less than 3.2; Water consumption (m3/ton product) less than 1.8
43869_18296,"Achievement of energy savings and reduction in absolute CO2 emissions in order for the plant to be and remain in the 10% most efficient petrochemical (steam-cracker + HDPE or LDPE complex) plants in the EU [i.e. reach a carbon intensity lower than the prevailing EU threshold level, currently 0.702 tn CO2/tn product and subject to potential revision in the future]"
43869_18297,"Commissioning  of at least one refurbished integrated petrochemical plant (steam cracker + LDPE or HDPE unit) in the EBRD region of operation, using BAT and reaching similar performance levels notably in terms of carbon intensity"
43869_18298,"Implementation, verification and certification of an integrated energy and carbon management system at the level of the integrated complex (refinery and petchem)"
43875_18057,"Expand bank's corporate loan portfolio by at least (from end-2011level of USD500 million): 30% (end 2012), 60% (end 2014)"
43875_18058,Increase the proportion of long-term (2+ year average maturity) loans in bank's corporate loan portfolio to at least (from end-2011 level of 30%): 35% (end 2012); 38% (end 2014)
43875_18059,Introduce new products targeted at corporate clients (including cash management products)
43875_18060,Maintain bank's NPL ratio (PAR >90d) in corporate loan portfolio below 5%
43875_18061,Maintain bank?s exposure to real estate and construction sectors to below 25% of GLP
43875_18062,Successful close of Khan Bank's first parallel and syndicated loan
43875_18063,At least one more syndicated loan by another bank in the country with participation of commercial investors
43875_18064,"Increase importance of long-term funding in the Khan Bank's liability mix: funding with 5+ year maturity to increase, including by attracting commercial investors, to (end-2011level is around USD90m): USD190m (end 2012); USD340m (end 2014)"
43875_18065,"Introduce an improved formal risk management policy, which includes improved stress testing of risk facing clients that borrow in FX"
43875_18066,Introduce enhanced FX risk disclosure to clients that borrow in FX
43875_18067,Actively and constructively participate in establishment of the Deposit Insurance Agency in the country
43886_20432,"Mining of 175,000 tonnes p.a. of ore from underground operations "
43886_20433,Doubling the amount of gold dore sold by the Company as compared to 23 koz in 2010 
43886_20434,Appoint an EBRD nominated director on Hambledon's Board 
43886_20435,Adoption of the EITI principles and disclosure of payments to the Kazakh authorities on its website in the Company's Annual Report to be published on the Company's website 
43886_20436,Design and implementation of an ESIA that meets international standards for Sekisovskoye 
43886_20437,Establish/Adopt formal environmental and occupational health & safety policies and implement management systems compliant with ISO 14001 and OHSAS 18001 Standards 
43886_20438,Signing of the International Cyanide Management Code 
43886_20439,Signing of five EGP/BAS projects with local SMEs 
43886_20440,Organisation of at least two Market Development Activities 
43907_18601,At least two more companies to deliver parts to new aircraft models produced by large international player like Airbus or Boeing
43907_18602,At least one more investments made by other international company in the aircraft industry that includes machining operations
43907_18603,Finalising the assembly and kitting room investments (for assembly of aero structures)
43907_18604,Introduce environmentally friendly chrome free anodized and painting finishing systems
43907_18605,The development of a school programme for initially 25 students in numerical command machines' engineering together with the university of Baia Mare
43907_18606,Over 80 students trained
43907_18607,Management to include 75 per cent of local people
43907_33304,Increase the annual school programmes from 25 students to 75 students together with the University of Baia Mare and new partners Cluj Technical University and 2 technical schools in Baia Mare
43907_33305,At least one more investment in complex aerostructures supplied directly to the final assembly line of OEMs
43907_33306,Full recycle of aluminium scrap resulting from machining
_,
_,
_,
_,
_,
_,
_,
_,
_,
_,
_,
_,
