code,ind_name,ind_name_desc
ST.9.6,Volume of loans disbursed by partner financial institution for efficiency investments,"Volume (millions) expressed in EUR equivalent of disbursed in the target segment over the reporting period by a partner financial institution. The type of target area will be specified from the following menu: agribusiness, information & communication technologies, manufacturing & services, property & tourism, natural resources, power & energy, women-led businesses, women-led (M)SMEs, energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments."
ST.15.6,New or updated GET technology or product leading to energy efficiency introduced,"New or updated technology adopted by the client according to an agreed standard. The type of system or product will be specified from the following menu: technology, equipment, operating/production process, product, products & services. "
ST.12.7,Improved health & safety standards,"Improved standard of client/supplier/stakeholder is defined as specific measurable performance indicators which show improvement as per identified metric. The type of standards will be specified from the following list: operational standards, environmental standards, business standards, financial standards, licensing standards, quality standards, health & safety standards, procurement standards, reporting standards, cyanide management standards, CSR reporting standards, GRI standards, IFRS/GAAP standards, energy management standards (including building /goods certifications)."
ST.13.7,Practices of the relevant stakeholder improved (EMS/disclosure) ,"Practices of the client or relevant stakeholder improved as targeted is defined as those practices that have been raised to a better quality or standard defined by measurable performance indicators agreed upon at project signing. The type of practices will be specified from the following list: inclusive procurement practices of companies in the client's supply chain, inclusive procurement practices of the client's holding company, equal opportunity practices of the client, equal opportunity practices of companies in the client's supply chain, equal opportunity practices of the client's holding company, environmental, EMS/disclosure, agriculture-specific practices (SEED toolkit/Smart retail concept/supply chain mapping), permitting/licensing procedures, social protection measures, system reliability, NPL domain, deposit insurance, operational, anti-corruption action plan, MSME non-financial management, others, innovative green business model, climate change adaptation practices."
O.8.14,Business advisory recommendations agreed: Action plan for EITI compliance approved,"Business advisory recommendation is the guidance offered to a client with regard to an action to be implemented. Business advisory recommendations are considered to be agreed by the client when such have been delivered (by EBRD or the consultant) and accepted by the by the client for implementation according to the timeline and details specified. Business advisory services may includes: Business Advice, Sectoral Advice, Inclusion & Gender Advice, Green, Energy Efficiency & Climate Change Advice, Integrity and Risk Management Advice, Local Currency and Capital Markets Advice, Environmental and, Social related Advice, Governance Advice. The nature of the advice should be specified at project design/approval."
ST.75.7,Expanded access of natural resources product or services,"Expanded access of services and products specify. Client expands access to or improves quality of services and products. The type of services and products specified from the following menu: infrastructure, ICT, water services, electricity services, within regions, across regions, natural resources product or services. The number of recipients should be disaggregated by sex."
LT.21.7,Total gross insurance premium for climate adaptation investments,Volume (millions) expressed in EUR equivalent of total gross insurance premium for target segment at the end of the reporting period. The type of target segment will be specified from the following menu: life and non-life.
ST.121.7,Average size of loans disbursed by partner financial institution to clients in climate adaptation investments,"Average size of sub-loans disbursed to clients during a reporting period. The type of target segment will be specified from the following menu: mortgage, leasing, SMEs, energy efficiency investments, renewable energy investments, efficiency investments, climate adaptation investments, women-led businesses, women-led (M)SMEs, target regions, agriculture sector , TFP (Trade Finance Programme), energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments, information and communication technologies, manufacturing and services, property and tourism, natural resources, power and energy, local currency, DCTFA compliance"
ST.79.7,Improved quality of natural resources product or services,"Improved quality of services and products specify . Client expands access to or improves quality of services and products. The type of services and products specified from the following menu: infrastructure, ICT, water services, electricity services, within regions, across regions, natural resources product or services. The number of recipients should be disaggregated by sex."
LT.19.7,Number of outstanding loans of partner financial institution for climate adaptation investments,"Number of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy, Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
ST.10.7,Number of loans disbursed by partner financial institution disbursed for climate adaptation investments,"Number of loans disbursed by partner financial institution in the targeted segment during the reporting period by a partner financial institution. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy , Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
O.8.7,Business advisory recommendations agreed: Listing documents prepared,"Business advisory recommendation is the guidance offered to a client with regard to an action to be implemented. Business advisory recommendations are considered to be agreed by the client when such have been delivered (by EBRD or the consultant) and accepted by the by the client for implementation according to the timeline and details specified. Business advisory services may includes: Business Advice, Sectoral Advice, Inclusion & Gender Advice, Green, Energy Efficiency & Climate Change Advice, Integrity and Risk Management Advice, Local Currency and Capital Markets Advice, Environmental and, Social related Advice, Governance Advice. The nature of the advice should be specified at project design/approval."
LT.1.7,Volume of outstanding loans of partner financial institution for climate adaptation investments,"Volume (millions) expressed in EUR equivalent of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank (refers to insurance, leasing), MSMEs, Green Economy, Women-led businesses, Regions, Agribusiness sector, and other target segments to be defined."
ST.9.7,Volume of loans disbursed by partner financial institution for climate adaptation investments,"Volume (millions) expressed in EUR equivalent of disbursed in the target segment over the reporting period by a partner financial institution. The type of target area will be specified from the following menu: agribusiness, information & communication technologies, manufacturing & services, property & tourism, natural resources, power & energy, women-led businesses, women-led (M)SMEs, energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments."
ST.15.7,New or updated GET technology or product leading to resource efficiency introduced,"New or updated technology adopted by the client according to an agreed standard. The type of system or product will be specified from the following menu: technology, equipment, operating/production process, product, products & services. "
ST.12.8,Improved procurement standards,"Improved standard of client/supplier/stakeholder is defined as specific measurable performance indicators which show improvement as per identified metric. The type of standards will be specified from the following list: operational standards, environmental standards, business standards, financial standards, licensing standards, quality standards, health & safety standards, procurement standards, reporting standards, cyanide management standards, CSR reporting standards, GRI standards, IFRS/GAAP standards, energy management standards (including building /goods certifications)."
ST.13.8,Practices of the relevant stakeholder improved agriculture-specific practices (SEED toolkit/Smart retail concept/supply chain mapping) ,"Practices of the client or relevant stakeholder improved as targeted is defined as those practices that have been raised to a better quality or standard defined by measurable performance indicators agreed upon at project signing. The type of practices will be specified from the following list: inclusive procurement practices of companies in the client's supply chain, inclusive procurement practices of the client's holding company, equal opportunity practices of the client, equal opportunity practices of companies in the client's supply chain, equal opportunity practices of the client's holding company, environmental, EMS/disclosure, agriculture-specific practices (SEED toolkit/Smart retail concept/supply chain mapping), permitting/licensing procedures, social protection measures, system reliability, NPL domain, deposit insurance, operational, anti-corruption action plan, MSME non-financial management, others, innovative green business model, climate change adaptation practices."
O.14.8,Project implementation support completed: Design of new information system approved,"Project implementation support is the provision of expertise to support the implementation and/or the monitoring of an engagement. Project implementation support is considered to be completed when the defined product or activity has been delivered to the client in the agreed timeframe and to the required specifications. This can include the final drafting or approval of a report with recommendations or plan and support for implementation of the recommendations/plan. It can also include support to ensure compliance with EBRD requirements, standards and covenants. The nature of the support to be implemented should be specified at project design/approval."
LT.21.8,Total gross insurance premium for women-led businesses,Volume (millions) expressed in EUR equivalent of total gross insurance premium for target segment at the end of the reporting period. The type of target segment will be specified from the following menu: life and non-life.
ST.121.8,Average size of loans disbursed by partner financial institution to clients in women-led businesses,"Average size of sub-loans disbursed to clients during a reporting period. The type of target segment will be specified from the following menu: mortgage, leasing, SMEs, energy efficiency investments, renewable energy investments, efficiency investments, climate adaptation investments, women-led businesses, women-led (M)SMEs, target regions, agriculture sector , TFP (Trade Finance Programme), energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments, information and communication technologies, manufacturing and services, property and tourism, natural resources, power and energy, local currency, DCTFA compliance"
LT.19.8,Number of outstanding loans of partner financial institution for women-led businesses,"Number of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy, Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
ST.10.8,Number of loans disbursed by partner financial institution disbursed for women-led businesses,"Number of loans disbursed by partner financial institution in the targeted segment during the reporting period by a partner financial institution. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy , Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
O.8.8,Business advisory recommendations agreed: Design of enhancements to deposit insurance system,"Business advisory recommendation is the guidance offered to a client with regard to an action to be implemented. Business advisory recommendations are considered to be agreed by the client when such have been delivered (by EBRD or the consultant) and accepted by the by the client for implementation according to the timeline and details specified. Business advisory services may includes: Business Advice, Sectoral Advice, Inclusion & Gender Advice, Green, Energy Efficiency & Climate Change Advice, Integrity and Risk Management Advice, Local Currency and Capital Markets Advice, Environmental and, Social related Advice, Governance Advice. The nature of the advice should be specified at project design/approval."
LT.1.8,Volume of outstanding loans of partner financial institution for women-led businesses,"Volume (millions) expressed in EUR equivalent of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank (refers to insurance, leasing), MSMEs, Green Economy, Women-led businesses, Regions, Agribusiness sector, and other target segments to be defined."
ST.9.8,Volume of loans disbursed by partner financial institution for women-led businesses,"Volume (millions) expressed in EUR equivalent of disbursed in the target segment over the reporting period by a partner financial institution. The type of target area will be specified from the following menu: agribusiness, information & communication technologies, manufacturing & services, property & tourism, natural resources, power & energy, women-led businesses, women-led (M)SMEs, energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments."
ST.15.8,New or updated GET technology or product leading to water savings introduced,"New or updated technology adopted by the client according to an agreed standard. The type of system or product will be specified from the following menu: technology, equipment, operating/production process, product, products & services. "
ST.12.9,Improved reporting standards,"Improved standard of client/supplier/stakeholder is defined as specific measurable performance indicators which show improvement as per identified metric. The type of standards will be specified from the following list: operational standards, environmental standards, business standards, financial standards, licensing standards, quality standards, health & safety standards, procurement standards, reporting standards, cyanide management standards, CSR reporting standards, GRI standards, IFRS/GAAP standards, energy management standards (including building /goods certifications)."
ST.13.9,Practices of the relevant stakeholder improved (permitting/licensing procedures) ,"Practices of the client or relevant stakeholder improved as targeted is defined as those practices that have been raised to a better quality or standard defined by measurable performance indicators agreed upon at project signing. The type of practices will be specified from the following list: inclusive procurement practices of companies in the client's supply chain, inclusive procurement practices of the client's holding company, equal opportunity practices of the client, equal opportunity practices of companies in the client's supply chain, equal opportunity practices of the client's holding company, environmental, EMS/disclosure, agriculture-specific practices (SEED toolkit/Smart retail concept/supply chain mapping), permitting/licensing procedures, social protection measures, system reliability, NPL domain, deposit insurance, operational, anti-corruption action plan, MSME non-financial management, others, innovative green business model, climate change adaptation practices."
O.14.9,Project implementation support completed: Market demand analysis accepted,"Project implementation support is the provision of expertise to support the implementation and/or the monitoring of an engagement. Project implementation support is considered to be completed when the defined product or activity has been delivered to the client in the agreed timeframe and to the required specifications. This can include the final drafting or approval of a report with recommendations or plan and support for implementation of the recommendations/plan. It can also include support to ensure compliance with EBRD requirements, standards and covenants. The nature of the support to be implemented should be specified at project design/approval."
LT.21.9,Total gross insurance premium for women-led (M)SMEs,Volume (millions) expressed in EUR equivalent of total gross insurance premium for target segment at the end of the reporting period. The type of target segment will be specified from the following menu: life and non-life.
ST.121.9,Average size of loans disbursed by partner financial institution to clients in women-led (M)SMEs,"Average size of sub-loans disbursed to clients during a reporting period. The type of target segment will be specified from the following menu: mortgage, leasing, SMEs, energy efficiency investments, renewable energy investments, efficiency investments, climate adaptation investments, women-led businesses, women-led (M)SMEs, target regions, agriculture sector , TFP (Trade Finance Programme), energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments, information and communication technologies, manufacturing and services, property and tourism, natural resources, power and energy, local currency, DCTFA compliance"
LT.19.9,Number of outstanding loans of partner financial institution for women-led (M)SMEs,"Number of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy, Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
ST.10.9,Number of loans disbursed by partner financial institution disbursed for women-led (M)SMEs,"Number of loans disbursed by partner financial institution in the targeted segment during the reporting period by a partner financial institution. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy , Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
O.8.9,Business advisory recommendations agreed: Design of NPL solution,"Business advisory recommendation is the guidance offered to a client with regard to an action to be implemented. Business advisory recommendations are considered to be agreed by the client when such have been delivered (by EBRD or the consultant) and accepted by the by the client for implementation according to the timeline and details specified. Business advisory services may includes: Business Advice, Sectoral Advice, Inclusion & Gender Advice, Green, Energy Efficiency & Climate Change Advice, Integrity and Risk Management Advice, Local Currency and Capital Markets Advice, Environmental and, Social related Advice, Governance Advice. The nature of the advice should be specified at project design/approval."
LT.1.9,Volume of outstanding loans of partner financial institution for women-led (M)SMEs,"Volume (millions) expressed in EUR equivalent of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank (refers to insurance, leasing), MSMEs, Green Economy, Women-led businesses, Regions, Agribusiness sector, and other target segments to be defined."
ST.9.9,Volume of loans disbursed by partner financial institution for women-led (M)SMEs,"Volume (millions) expressed in EUR equivalent of disbursed in the target segment over the reporting period by a partner financial institution. The type of target area will be specified from the following menu: agribusiness, information & communication technologies, manufacturing & services, property & tourism, natural resources, power & energy, women-led businesses, women-led (M)SMEs, energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments."
ST.15.9,New or updated GET technology or product leading to renewable energy generation introduced,"New or updated technology adopted by the client according to an agreed standard. The type of system or product will be specified from the following menu: technology, equipment, operating/production process, product, products & services. "
ST.12.10,Improved cyanide management standards,"Improved standard of client/supplier/stakeholder is defined as specific measurable performance indicators which show improvement as per identified metric. The type of standards will be specified from the following list: operational standards, environmental standards, business standards, financial standards, licensing standards, quality standards, health & safety standards, procurement standards, reporting standards, cyanide management standards, CSR reporting standards, GRI standards, IFRS/GAAP standards, energy management standards (including building /goods certifications)."
ST.13.10,Practices of the relevant stakeholder improved (social protection measures) ,"Practices of the client or relevant stakeholder improved as targeted is defined as those practices that have been raised to a better quality or standard defined by measurable performance indicators agreed upon at project signing. The type of practices will be specified from the following list: inclusive procurement practices of companies in the client's supply chain, inclusive procurement practices of the client's holding company, equal opportunity practices of the client, equal opportunity practices of companies in the client's supply chain, equal opportunity practices of the client's holding company, environmental, EMS/disclosure, agriculture-specific practices (SEED toolkit/Smart retail concept/supply chain mapping), permitting/licensing procedures, social protection measures, system reliability, NPL domain, deposit insurance, operational, anti-corruption action plan, MSME non-financial management, others, innovative green business model, climate change adaptation practices."
O.14.10,Project implementation support completed: Baseline study accepted,"Project implementation support is the provision of expertise to support the implementation and/or the monitoring of an engagement. Project implementation support is considered to be completed when the defined product or activity has been delivered to the client in the agreed timeframe and to the required specifications. This can include the final drafting or approval of a report with recommendations or plan and support for implementation of the recommendations/plan. It can also include support to ensure compliance with EBRD requirements, standards and covenants. The nature of the support to be implemented should be specified at project design/approval."
LT.21.10,Total gross insurance premium for target regions,Volume (millions) expressed in EUR equivalent of total gross insurance premium for target segment at the end of the reporting period. The type of target segment will be specified from the following menu: life and non-life.
ST.121.10,Average size of loans disbursed by partner financial institution to clients in target regions,"Average size of sub-loans disbursed to clients during a reporting period. The type of target segment will be specified from the following menu: mortgage, leasing, SMEs, energy efficiency investments, renewable energy investments, efficiency investments, climate adaptation investments, women-led businesses, women-led (M)SMEs, target regions, agriculture sector , TFP (Trade Finance Programme), energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments, information and communication technologies, manufacturing and services, property and tourism, natural resources, power and energy, local currency, DCTFA compliance"
LT.19.10,Number of outstanding loans of partner financial institution for target regions,"Number of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy, Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
ST.10.10,Number of loans disbursed by partner financial institution disbursed for target regions,"Number of loans disbursed by partner financial institution in the targeted segment during the reporting period by a partner financial institution. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy , Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
O.8.10,Business advisory recommendations agreed: Design of clearing and settlement system,"Business advisory recommendation is the guidance offered to a client with regard to an action to be implemented. Business advisory recommendations are considered to be agreed by the client when such have been delivered (by EBRD or the consultant) and accepted by the by the client for implementation according to the timeline and details specified. Business advisory services may includes: Business Advice, Sectoral Advice, Inclusion & Gender Advice, Green, Energy Efficiency & Climate Change Advice, Integrity and Risk Management Advice, Local Currency and Capital Markets Advice, Environmental and, Social related Advice, Governance Advice. The nature of the advice should be specified at project design/approval."
LT.1.10,Volume of outstanding loans of partner financial institution for target regions,"Volume (millions) expressed in EUR equivalent of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank (refers to insurance, leasing), MSMEs, Green Economy, Women-led businesses, Regions, Agribusiness sector, and other target segments to be defined."
ST.9.10,Volume of loans disbursed by partner financial institution for target regions,"Volume (millions) expressed in EUR equivalent of disbursed in the target segment over the reporting period by a partner financial institution. The type of target area will be specified from the following menu: agribusiness, information & communication technologies, manufacturing & services, property & tourism, natural resources, power & energy, women-led businesses, women-led (M)SMEs, energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments."
ST.15.10,New or updated GET technology or product leading to pollution prevention control introduced,"New or updated technology adopted by the client according to an agreed standard. The type of system or product will be specified from the following menu: technology, equipment, operating/production process, product, products & services. "
ST.12.11,Improved CSR reporting standards,"Improved standard of client/supplier/stakeholder is defined as specific measurable performance indicators which show improvement as per identified metric. The type of standards will be specified from the following list: operational standards, environmental standards, business standards, financial standards, licensing standards, quality standards, health & safety standards, procurement standards, reporting standards, cyanide management standards, CSR reporting standards, GRI standards, IFRS/GAAP standards, energy management standards (including building /goods certifications)."
ST.13.11,Practices of the relevant stakeholder improved (system reliability) ,"Practices of the client or relevant stakeholder improved as targeted is defined as those practices that have been raised to a better quality or standard defined by measurable performance indicators agreed upon at project signing. The type of practices will be specified from the following list: inclusive procurement practices of companies in the client's supply chain, inclusive procurement practices of the client's holding company, equal opportunity practices of the client, equal opportunity practices of companies in the client's supply chain, equal opportunity practices of the client's holding company, environmental, EMS/disclosure, agriculture-specific practices (SEED toolkit/Smart retail concept/supply chain mapping), permitting/licensing procedures, social protection measures, system reliability, NPL domain, deposit insurance, operational, anti-corruption action plan, MSME non-financial management, others, innovative green business model, climate change adaptation practices."
O.14.11,Project implementation support completed: Recommended lending strategy/methodology accepted,"Project implementation support is the provision of expertise to support the implementation and/or the monitoring of an engagement. Project implementation support is considered to be completed when the defined product or activity has been delivered to the client in the agreed timeframe and to the required specifications. This can include the final drafting or approval of a report with recommendations or plan and support for implementation of the recommendations/plan. It can also include support to ensure compliance with EBRD requirements, standards and covenants. The nature of the support to be implemented should be specified at project design/approval."
LT.21.11,Total gross insurance premium for agriculture sector,Volume (millions) expressed in EUR equivalent of total gross insurance premium for target segment at the end of the reporting period. The type of target segment will be specified from the following menu: life and non-life.
ST.121.11,Average size of loans disbursed by partner financial institution to clients in agriculture sector,"Average size of sub-loans disbursed to clients during a reporting period. The type of target segment will be specified from the following menu: mortgage, leasing, SMEs, energy efficiency investments, renewable energy investments, efficiency investments, climate adaptation investments, women-led businesses, women-led (M)SMEs, target regions, agriculture sector , TFP (Trade Finance Programme), energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments, information and communication technologies, manufacturing and services, property and tourism, natural resources, power and energy, local currency, DCTFA compliance"
LT.19.11,Number of outstanding loans of partner financial institution for agriculture sector,"Number of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy, Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
ST.10.11,Number of loans disbursed by partner financial institution disbursed for agriculture sector,"Number of loans disbursed by partner financial institution in the targeted segment during the reporting period by a partner financial institution. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy , Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
O.8.11,Business advisory recommendations agreed: ENTSO-E membership/integration actions agreed,"Business advisory recommendation is the guidance offered to a client with regard to an action to be implemented. Business advisory recommendations are considered to be agreed by the client when such have been delivered (by EBRD or the consultant) and accepted by the by the client for implementation according to the timeline and details specified. Business advisory services may includes: Business Advice, Sectoral Advice, Inclusion & Gender Advice, Green, Energy Efficiency & Climate Change Advice, Integrity and Risk Management Advice, Local Currency and Capital Markets Advice, Environmental and, Social related Advice, Governance Advice. The nature of the advice should be specified at project design/approval."
LT.1.11,Volume of outstanding loans of partner financial institution for agriculture sector,"Volume (millions) expressed in EUR equivalent of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank (refers to insurance, leasing), MSMEs, Green Economy, Women-led businesses, Regions, Agribusiness sector, and other target segments to be defined."
ST.9.11,Volume of loans disbursed by partner financial institution for agriculture sector,"Volume (millions) expressed in EUR equivalent of disbursed in the target segment over the reporting period by a partner financial institution. The type of target area will be specified from the following menu: agribusiness, information & communication technologies, manufacturing & services, property & tourism, natural resources, power & energy, women-led businesses, women-led (M)SMEs, energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments."
ST.15.11,New or updated GET technology or product leading to more sustainable land management introduced,"New or updated technology adopted by the client according to an agreed standard. The type of system or product will be specified from the following menu: technology, equipment, operating/production process, product, products & services. "
ST.12.12,Improved GRI standards,"Improved standard of client/supplier/stakeholder is defined as specific measurable performance indicators which show improvement as per identified metric. The type of standards will be specified from the following list: operational standards, environmental standards, business standards, financial standards, licensing standards, quality standards, health & safety standards, procurement standards, reporting standards, cyanide management standards, CSR reporting standards, GRI standards, IFRS/GAAP standards, energy management standards (including building /goods certifications)."
ST.13.12,Practices of the relevant stakeholder improved (NPL domain) ,"Practices of the client or relevant stakeholder improved as targeted is defined as those practices that have been raised to a better quality or standard defined by measurable performance indicators agreed upon at project signing. The type of practices will be specified from the following list: inclusive procurement practices of companies in the client's supply chain, inclusive procurement practices of the client's holding company, equal opportunity practices of the client, equal opportunity practices of companies in the client's supply chain, equal opportunity practices of the client's holding company, environmental, EMS/disclosure, agriculture-specific practices (SEED toolkit/Smart retail concept/supply chain mapping), permitting/licensing procedures, social protection measures, system reliability, NPL domain, deposit insurance, operational, anti-corruption action plan, MSME non-financial management, others, innovative green business model, climate change adaptation practices."
O.14.12,Project implementation support completed: Design of new financial product,"Project implementation support is the provision of expertise to support the implementation and/or the monitoring of an engagement. Project implementation support is considered to be completed when the defined product or activity has been delivered to the client in the agreed timeframe and to the required specifications. This can include the final drafting or approval of a report with recommendations or plan and support for implementation of the recommendations/plan. It can also include support to ensure compliance with EBRD requirements, standards and covenants. The nature of the support to be implemented should be specified at project design/approval."
LT.21.12,Total gross insurance premium for TFP (Trade Finance Programme),Volume (millions) expressed in EUR equivalent of total gross insurance premium for target segment at the end of the reporting period. The type of target segment will be specified from the following menu: life and non-life.
ST.121.12,Average size of loans disbursed by partner financial institution to clients in TFP (Trade Finance Programme),"Average size of sub-loans disbursed to clients during a reporting period. The type of target segment will be specified from the following menu: mortgage, leasing, SMEs, energy efficiency investments, renewable energy investments, efficiency investments, climate adaptation investments, women-led businesses, women-led (M)SMEs, target regions, agriculture sector , TFP (Trade Finance Programme), energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments, information and communication technologies, manufacturing and services, property and tourism, natural resources, power and energy, local currency, DCTFA compliance"
LT.19.12,Number of outstanding loans of partner financial institution for TFP (Trade Finance Programme),"Number of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy, Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
ST.10.12,Number of loans disbursed by partner financial institution disbursed for TFP (Trade Finance Programme),"Number of loans disbursed by partner financial institution in the targeted segment during the reporting period by a partner financial institution. The type of target segment will be specified from the following menu: Mortgage, Non-bank refers to insurance, leasing, SMEs, Green Economy , Women-led businesses, Regions, Agriculture sector, and other target segments to be defined."
O.8.14,Business advisory recommendations agreed: Action plan for EITI compliance approved,"Business advisory recommendation is the guidance offered to a client with regard to an action to be implemented. Business advisory recommendations are considered to be agreed by the client when such have been delivered (by EBRD or the consultant) and accepted by the by the client for implementation according to the timeline and details specified. Business advisory services may includes: Business Advice, Sectoral Advice, Inclusion & Gender Advice, Green, Energy Efficiency & Climate Change Advice, Integrity and Risk Management Advice, Local Currency and Capital Markets Advice, Environmental and, Social related Advice, Governance Advice. The nature of the advice should be specified at project design/approval."
LT.1.12,Volume of outstanding loans of partner financial institution for TFP (Trade Finance Programme),"Volume (millions) expressed in EUR equivalent of outstanding loans of partner financial institution in the target segment remaining on partner financial institutions’ balance sheet at the end of the reporting period. The type of target segment will be specified from the following menu: Mortgage, Non-bank (refers to insurance, leasing), MSMEs, Green Economy, Women-led businesses, Regions, Agribusiness sector, and other target segments to be defined."
ST.9.12,Volume of loans disbursed by partner financial institution for TFP (Trade Finance Programme),"Volume (millions) expressed in EUR equivalent of disbursed in the target segment over the reporting period by a partner financial institution. The type of target area will be specified from the following menu: agribusiness, information & communication technologies, manufacturing & services, property & tourism, natural resources, power & energy, women-led businesses, women-led (M)SMEs, energy efficiency investments, renewable energy investments, resource efficiency investments, climate adaptation investments."
ST.12.13,Improved IFRS/GAAP standards,"Improved standard of client/supplier/stakeholder is defined as specific measurable performance indicators which show improvement as per identified metric. The type of standards will be specified from the following list: operational standards, environmental standards, business standards, financial standards, licensing standards, quality standards, health & safety standards, procurement standards, reporting standards, cyanide management standards, CSR reporting standards, GRI standards, IFRS/GAAP standards, energy management standards (including building /goods certifications)."
ST.13.13,Practices of the relevant stakeholder improved deposit insurance) ,"Practices of the client or relevant stakeholder improved as targeted is defined as those practices that have been raised to a better quality or standard defined by measurable performance indicators agreed upon at project signing. The type of practices will be specified from the following list: inclusive procurement practices of companies in the client's supply chain, inclusive procurement practices of the client's holding company, equal opportunity practices of the client, equal opportunity practices of companies in the client's supply chain, equal opportunity practices of the client's holding company, environmental, EMS/disclosure, agriculture-specific practices (SEED toolkit/Smart retail concept/supply chain mapping), permitting/licensing procedures, social protection measures, system reliability, NPL domain, deposit insurance, operational, anti-corruption action plan, MSME non-financial management, others, innovative green business model, climate change adaptation practices."
O.14.13,Project implementation support completed: Number of potential sub-borrowers supported to identify requirements/with loan applications,"Project implementation support is the provision of expertise to support the implementation and/or the monitoring of an engagement. Project implementation support is considered to be completed when the defined product or activity has been delivered to the client in the agreed timeframe and to the required specifications. This can include the final drafting or approval of a report with recommendations or plan and support for implementation of the recommendations/plan. It can also include support to ensure compliance with EBRD requirements, standards and covenants. The nature of the support to be implemented should be specified at project design/approval."
